ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
17011970,"01/22/2017, 7:01:00 am","07/24/2017, 5:01:32 pm",CARROLLTON,GA,30117,200 Block MATTHEWS AVENUE,POSSESSION OF FIREARM OR KNIFE DURING CERTAIN CRIMES,Other ,POSSESSION OF FIREARM OR KNIFE DURING CERTAIN CRIMES
17011962,"01/22/2017, 5:20:00 am","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,AFFRAY,Quality of Life,AFFRAY
17011963,"01/22/2017, 6:05:00 am","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,100 Block YELLOSTONE DRIVE,CRIMINAL TRESPASS (NON FVA),Property Crime ,CRIMINAL TRESPASS (NON FVA)
17011922,"01/22/2017, 1:01:00 am","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,400 Block B BURSON AVENUE,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE,Property Crime ,CRIMINAL DAMAGE TO PROPERTY 2ND DEGREE
17011911,"01/21/2017, 11:00:00 pm","07/23/2017, 5:01:23 pm",CARROLLTON,GA,30117,PARK LANE,NO PROOF OF INSURANCE,Traffic,NO PROOF OF INSURANCE
17011897,"01/20/2017, 6:30:00 am","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,FINANCIAL TRANSACTION CARD FRAUD,Theft,FINANCIAL TRANSACTION CARD FRAUD
17011850,"01/21/2017, 12:13:00 am","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,400 Block HAYS MILL ROAD,BATTERY,Assault ,BATTERY
17011864,"01/21/2017, 5:34:00 am","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,FOURTH STREET,ROBBERY,Robbery,ROBBERY
17011819,"01/20/2017, 6:20:00 pm","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,1000 Block ALABAMA STREET,ENTERING AUTO,Theft from Vehicle,ENTERING AUTO
17011802,"01/20/2017, 11:30:00 am","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,300 Block B ORANGE PASS,STALKING,Proactive Policing,STALKING
17011797,"01/20/2017, 2:05:00 pm","07/22/2017, 5:01:23 pm",CARROLLTON,GA,30117,700 Block DIXIE STREET,CRIMINAL TRESPASS (NON FVA),Property Crime ,CRIMINAL TRESPASS (NON FVA)
17011784,"01/20/2017, 5:00:00 am","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,300 Block LOVVORN ROAD,CRIMINAL TRESPASS (NON FVA),Property Crime ,CRIMINAL TRESPASS (NON FVA)
17011738,"01/17/2017, 7:14:00 pm","07/19/2017, 5:00:49 pm",CARROLLTON,GA,30117,700 Block DIXIE STREET,CRIMINAL TRESPASS (NON FVA),Property Crime ,CRIMINAL TRESPASS (NON FVA)
17011745,"01/16/2017, 9:15:00 pm","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,THEFT OF LOST/MISLAID PROPERTY,Theft,THEFT OF LOST/MISLAID PROPERTY
17011734,"01/19/2017, 11:41:00 pm","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,1300 Block LOVVORN ROAD,THEFT BY DECEPTION,Theft,THEFT BY DECEPTION
17011728,"01/19/2017, 1:30:00 pm","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,100 Block LAKE TERRACE CT,CRIMINAL TRESPASS (FAMILY VIOLENCE),Property Crime ,CRIMINAL TRESPASS (FAMILY VIOLENCE)
17011714,"01/16/2017, 11:30:00 pm","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,1100 Block SOUTH PARK STREET,THEFT BY SHOPLIFTING,Theft,THEFT BY SHOPLIFTING
17011713,"01/19/2017, 5:00:00 pm","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,700 Block LOVVORN ROAD,BATTERY - FAMILY VIOLENCE,Other ,BATTERY - FAMILY VIOLENCE
17011705,"01/19/2017, 4:00:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,400 Block N CLIFF STREET,BURGLARY 1ST DEGREE,Breaking & Entering,BURGLARY 1ST DEGREE
17011619,"01/18/2017, 5:30:00 pm","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,THEFT BY TAKING,Theft,THEFT BY TAKING
17011690,"01/19/2017, 9:00:00 am","07/21/2017, 5:01:55 pm",CARROLLTON,GA,30117,100 Block ADAMSON SQUARE,AGGRAVATED BATTERY,Assault ,AGGRAVATED BATTERY
17011672,"01/19/2017, 4:00:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,1200 Block MAPLE STREET,SIMPLE ASSAULT/ASSAULT - FAMILY VIOLENCE,Other ,SIMPLE ASSAULT/ASSAULT - FAMILY VIOLENCE
17011669,"01/19/2017, 5:13:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,STEWART STREET @ SMITH DRIVE,POSSESSION OF MARIJUANA LESS THAN 1 OZ,Quality of Life,POSSESSION OF MARIJUANA LESS THAN 1 OZ
17011604,"01/17/2017, 6:30:00 am","07/18/2017, 5:02:04 pm",CARROLLTON,GA,30117,700 Block B KINGSBRIDGE ROAD,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
17011562,"01/18/2017, 11:50:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,1500 Block HIGHWAY 27 SOUTH SUITE A,BURGLARY 2ND DEGREE,Breaking & Entering,BURGLARY 2ND DEGREE
17011567,"01/18/2017, 1:00:00 am","07/19/2017, 5:00:48 pm",CARROLLTON,GA,30117,1 Block STREET,SIMPLE BATTERY,Assault ,SIMPLE BATTERY
17011570,"01/14/2017, 7:00:00 am","07/16/2017, 5:00:53 pm",CARROLLTON,GA,30117,400 Block NORTH CLIFF STREET,BURGLARY 1ST DEGREE,Breaking & Entering,BURGLARY 1ST DEGREE
17011554,"01/18/2017, 9:05:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,100 Block AUSTIN AVENUE,BATTERY - FAMILY VIOLENCE,Other ,BATTERY - FAMILY VIOLENCE
17011560,"01/18/2017, 9:34:00 am","07/20/2017, 5:01:11 pm",CARROLLTON,GA,30117,100 Block BEALL STREET,OBSTRUCTING OR HINDERING LAW ENFORCEMENT OFFICERS,Quality of Life,OBSTRUCTING OR HINDERING LAW ENFORCEMENT OFFICERS
17011517,"01/18/2017, 4:43:00 am","07/19/2017, 5:00:48 pm",CARROLLTON,GA,30117,200 Block OLD NEWNAN ROAD,SIMPLE ASSAULT,Assault ,SIMPLE ASSAULT
17011487,"01/18/2017, 1:00:00 am","07/19/2017, 5:00:48 pm",CARROLLTON,GA,30117,PEARL STREET,SIMPLE ASSAULT/ASSAULT - FAMILY VIOLENCE,Other ,SIMPLE ASSAULT/ASSAULT - FAMILY VIOLENCE
17011458,"01/17/2017, 7:15:00 pm","07/19/2017, 5:00:48 pm",CARROLLTON,GA,30117,100 Block PIKE STREET,Other,Other ,
